,variable,value,abs_value,r-squared
onset_in_hospital_or_arrival_within_6hrs_in_hospital,Treatment_time_270_both_only_ivt_over_270mins,-0.0139,0.0139,0.0002
covid_status_Vaccination only,diabetes,0.013,0.013,0.0002
covid_status_Vaccination only,eth5_Other ethnic group,-0.0131,0.0131,0.0002
Treatment_time_270_both_ivt_mt_under_270mins,diabetes,-0.0149,0.0149,0.0002
onset_in_hospital_or_arrival_within_6hrs_in_hospital,covid_status_None,0.0148,0.0148,0.0002
diabetes,covid_status_None,-0.0157,0.0157,0.0002
eth5_White,onset_in_hospital_or_arrival_within_6hrs_in_hospital,0.0155,0.0155,0.0002
onset_time_type_BE,"eth5_Black, Black British, Caribbean or African",0.0137,0.0137,0.0002
eth5_Asian or Asian British,stroke_type_I,-0.0152,0.0152,0.0002
eth5_Asian or Asian British,stroke_type_PIH,0.0155,0.0155,0.0002
Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,covid_status_Vaccination only,0.0139,0.0139,0.0002
covid_status_None,Treatment_time_270_both_ivt_under_270mins_mt_over_270mins,-0.0142,0.0142,0.0002
diabetes,eth5_Mixed or multiple ethnic groups,0.0153,0.0153,0.0002
covid_status_None,Treatment_time_270_both_only_ivt_under_270mins,0.0149,0.0149,0.0002
Treatment_time_270_both_only_ivt_under_270mins,covid_status_Vaccination only,-0.0155,0.0155,0.0002
"eth5_Black, Black British, Caribbean or African",eth5_Mixed or multiple ethnic groups,-0.0135,0.0135,0.0002
age,onset_in_hospital_or_arrival_within_6hrs_onset_unknown,0.015,0.015,0.0002
age,covid_status_Infection only,-0.0143,0.0143,0.0002
covid_status_Vaccination and infection,age,0.0146,0.0146,0.0002
age,onset_time_type_NK,0.015,0.015,0.0002
stroke_type_I,any_afib_diagnosis,0.013,0.013,0.0002
any_afib_diagnosis,stroke_type_PIH,-0.0123,0.0123,0.0002
age,stroke_type_I,-0.0125,0.0125,0.0002
eth5_Other ethnic group,covid_status_None,0.0128,0.0128,0.0002
onset_in_hospital_or_arrival_within_6hrs_beyond_6hrs,eth5_Asian or Asian British,0.013,0.013,0.0002
onset_in_hospital_or_arrival_within_6hrs_in_hospital,eth5_Asian or Asian British,-0.0141,0.0141,0.0002
onset_time_type_BE,eth5_Asian or Asian British,-0.0127,0.0127,0.0002
Treatment_time_270_both_only_ivt_over_270mins,age,-0.0132,0.0132,0.0002
Treatment_time_270_both_only_mt_under_270mins,prior_disability,-0.013,0.013,0.0002
stroke_type_PIH,onset_time_type_P,0.0148,0.0148,0.0002
IMD_2019_QUINTILES,onset_in_hospital_or_arrival_within_6hrs_onset_unknown,-0.0135,0.0135,0.0002
onset_time_type_BE,stroke_type_PIH,-0.0076,0.0076,0.0001
age,Treatment_time_270_both_only_mt_under_270mins,-0.0117,0.0117,0.0001
onset_time_type_NK,prior_disability,0.0104,0.0104,0.0001
stroke_type_I,onset_time_type_P,-0.0101,0.0101,0.0001
eth5_Other ethnic group,any_afib_diagnosis,-0.0102,0.0102,0.0001
any_afib_diagnosis,covid_status_Vaccination only,0.0098,0.0098,0.0001
covid_status_Vaccination and infection,any_afib_diagnosis,0.0121,0.0121,0.0001
eth5_Asian or Asian British,covid_status_Vaccination only,-0.0097,0.0097,0.0001
onset_in_hospital_or_arrival_within_6hrs_onset_unknown,eth5_White,0.0091,0.0091,0.0001
onset_in_hospital_or_arrival_within_6hrs_within_6hrs,age,0.0109,0.0109,0.0001
Treatment_time_270_both_only_mt_under_270mins,covid_status_Vaccination only,0.0074,0.0074,0.0001
onset_time_type_P,IMD_2019_QUINTILES,0.0079,0.0079,0.0001
covid_status_Vaccination and infection,"eth5_Black, Black British, Caribbean or African",-0.0077,0.0077,0.0001
Treatment_time_270_both_only_ivt_over_270mins,onset_time_type_P,0.0113,0.0113,0.0001
prior_disability,onset_in_hospital_or_arrival_within_6hrs_within_6hrs,-0.0099,0.0099,0.0001
covid_status_Infection only,"eth5_Black, Black British, Caribbean or African",0.0109,0.0109,0.0001
stroke_type_I,onset_time_type_BE,0.0084,0.0084,0.0001
